Source pickle: batches/CRUMB_batches/data_batch_1
Keys: ['batch_label', 'labels', 'complete_labels', 'data', 'filenames']
batch_label: training batch 1 of 6
data shape: (300, 150, 150)
Number of sources: 300

filename                                                labels complete_labels(MiraBest,FR-DEEP,AT17,Hybrid)
./CombinedCat/PNG/Scaled_Final/126.269_+012.735.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.488_+052.505.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.725_+039.812.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.773_+037.811.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.786_+009.384.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.826_+046.586.png          1 [np.int64(7), np.int64(-1), np.int64(2), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/126.856_+029.312.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.790_+041.794.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/127.867_+032.322.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/128.130_+035.287.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/128.328_+051.052.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/128.702_+017.013.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/129.078_+009.156.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/129.233_+005.545.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/129.470_+044.841.png          1 [np.int64(5), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/129.673_+004.736.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/129.686_+032.887.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(0)]
./CombinedCat/PNG/Scaled_Final/129.713_+025.454.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/129.766_+054.119.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/129.777_+057.904.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.010_+029.817.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.199_+013.207.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.261_+004.792.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.674_+039.181.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/130.857_+029.128.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.371_+042.331.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.525_+025.915.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.594_+003.261.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.623_+016.423.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.629_+002.784.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.635_+029.599.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/131.988_+031.811.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.014_+058.163.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.055_+057.001.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.175_+005.926.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.341_+054.225.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/132.579_+016.840.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/133.183_+018.197.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/133.287_+013.882.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/134.419_+034.068.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/134.430_+003.376.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/134.542_+027.847.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/134.673_+014.162.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/134.762_+034.466.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/135.129_+013.752.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/135.242_+051.166.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/135.347_+019.238.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/135.460_+055.924.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/135.747_+006.329.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/135.835_+052.560.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/135.909_+017.729.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/136.146_+025.005.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/136.182_+019.936.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/136.586_+047.869.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/136.633_+016.770.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/136.896_+041.582.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/137.211_+037.806.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/137.441_+041.956.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/137.463_+058.784.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/137.895_+012.927.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/137.935_+006.169.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/137.973_+037.404.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/138.017_+016.308.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/138.135_+009.613.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/138.315_+000.746.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/138.520_+017.265.png          1 [np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/138.564_+021.278.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/138.584_+017.436.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/138.645_+002.455.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/138.690_+041.621.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/138.719_+004.265.png          1 [np.int64(7), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/138.991_+041.484.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/139.748_+055.322.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/139.848_+040.651.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/139.926_+026.157.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/140.129_+040.313.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/140.281_+045.646.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/140.444_+037.903.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/140.708_+053.039.png          1 [np.int64(-1), np.int64(1), np.int64(1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/140.730_+054.308.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/140.796_+010.512.png          1 [np.int64(5), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/009.267_-001.152.png          2 [np.int64(8), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/011.245_+010.448.png          2 [np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0)]
./CombinedCat/PNG/Scaled_Final/030.349_+008.554.png          2 [np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0)]
./CombinedCat/PNG/Scaled_Final/044.296_+006.633.png          2 [np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0)]
./CombinedCat/PNG/Scaled_Final/108.850_+055.480.png          2 [np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0)]
./CombinedCat/PNG/Scaled_Final/111.028_+038.063.png          2 [np.int64(-1), np.int64(-1), np.int64(-1), np.int64(1)]
./CombinedCat/PNG/Scaled_Final/113.599_+035.112.png          2 [np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0)]
./CombinedCat/PNG/Scaled_Final/114.939_+024.860.png          2 [np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0)]
./CombinedCat/PNG/Scaled_Final/119.114_+039.024.png          2 [np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0)]
./CombinedCat/PNG/Scaled_Final/119.609_+010.339.png          2 [np.int64(8), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/123.370_+005.887.png          2 [np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0)]
./CombinedCat/PNG/Scaled_Final/123.683_+012.971.png          2 [np.int64(9), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/124.224_+039.188.png          2 [np.int64(8), np.int64(-1), np.int64(-1), np.int64(-1)]
./CombinedCat/PNG/Scaled_Final/125.642_+053.189.png          2 [np.int64(-1), np.int64(-1), np.int64(-1), np.int64(1)]
